Replicate Name,Peptide Note,Total Area MS1,Peptide Retention Time
QC_01,2-1_H3_9_17_K9K14_pp,2750576640,39.74
QC_02,2-1_H3_9_17_K9K14_pp,2172806400,39.38
QC_03,2-1_H3_9_17_K9K14_pp,2724245504,39.51
QC_05,2-1_H3_9_17_K9K14_pp,2599336448,39.28
QC_04,2-1_H3_9_17_K9K14_pp,2774023168,39.4
IM01r1,2-1_H3_9_17_K9K14_pp,266470944,39.5
IM01r2,2-1_H3_9_17_K9K14_pp,238044848,39.55
IM01r3,2-1_H3_9_17_K9K14_pp,236852432,39.12
IM02r1,2-1_H3_9_17_K9K14_pp,3098222336,39.4
IM02r2,2-1_H3_9_17_K9K14_pp,3085803776,39.45
IM02r3,2-1_H3_9_17_K9K14_pp,2687877632,39.04
IM03r1,2-1_H3_9_17_K9K14_pp,570374720,39.71
IM03r2,2-1_H3_9_17_K9K14_pp,570065280,39.46
IM03r3,2-1_H3_9_17_K9K14_pp,537188736,39.74
IM04r1,2-1_H3_9_17_K9K14_pp,1734531200,39.97
IM04r2,2-1_H3_9_17_K9K14_pp,1611162624,39.78
IM04r3,2-1_H3_9_17_K9K14_pp,1802687360,39.44
IM05r1,2-1_H3_9_17_K9K14_pp,1594891520,39.35
IM05r2,2-1_H3_9_17_K9K14_pp,1572685056,39.55
IM05r3,2-1_H3_9_17_K9K14_pp,1624151680,39.6
EJ06r1,2-1_H3_9_17_K9K14_pp,1265621888,39.59
EJ06r2,2-1_H3_9_17_K9K14_pp,1261194112,39.53
EJ06r3,2-1_H3_9_17_K9K14_pp,1367781504,39.36
EJ07r1,2-1_H3_9_17_K9K14_pp,4796831744,39.3
EJ07r2,2-1_H3_9_17_K9K14_pp,4060840192,39.39
EJ07r3,2-1_H3_9_17_K9K14_pp,4669503488,39.35
EJ08r1,2-1_H3_9_17_K9K14_pp,6289659904,39.11
EJ08r2,2-1_H3_9_17_K9K14_pp,6087745024,39.11
EJ08r3,2-1_H3_9_17_K9K14_pp,6305952768,39.26
EJ09r1,2-1_H3_9_17_K9K14_pp,4022264576,39.41
EJ09r2,2-1_H3_9_17_K9K14_pp,4126514432,39.46
EJ09r3,2-1_H3_9_17_K9K14_pp,4430723584,39.52
EJ10r1,2-1_H3_9_17_K9K14_pp,3605441536,39.72
EJ10r2,2-1_H3_9_17_K9K14_pp,3740612352,39.96
EJ10r3,2-1_H3_9_17_K9K14_pp,3734457344,39.8
blank_00,2-2_H3_9_17_K9K14_met1/ac,0,40.5
blank_01,2-2_H3_9_17_K9K14_met1/ac,0,40.5
QC_pre01,2-2_H3_9_17_K9K14_met1/ac,475112960,40.96
QC_pre02,2-2_H3_9_17_K9K14_met1/ac,439868000,40.84
QC_pre03,2-2_H3_9_17_K9K14_met1/ac,370094368,40.53
QC_00,2-2_H3_9_17_K9K14_met1/ac,112734944,40.03
QC_01,2-2_H3_9_17_K9K14_met1/ac,447923168,40.81
QC_02,2-2_H3_9_17_K9K14_met1/ac,407790016,40.42
QC_03,2-2_H3_9_17_K9K14_met1/ac,441482688,40.53
QC_05,2-2_H3_9_17_K9K14_met1/ac,426694496,40.33
QC_04,2-2_H3_9_17_K9K14_met1/ac,422897760,40.46
IM01r1,2-2_H3_9_17_K9K14_met1/ac,63200792,40.55
IM01r2,2-2_H3_9_17_K9K14_met1/ac,61618936,40.63
IM01r3,2-2_H3_9_17_K9K14_met1/ac,64946032,40.17
IM02r1,2-2_H3_9_17_K9K14_met1/ac,300444672,40.47
IM02r2,2-2_H3_9_17_K9K14_met1/ac,311410208,40.52
IM02r3,2-2_H3_9_17_K9K14_met1/ac,308032448,40.1
IM03r1,2-2_H3_9_17_K9K14_met1/ac,210129856,40.74
IM03r2,2-2_H3_9_17_K9K14_met1/ac,205787040,40.52
IM03r3,2-2_H3_9_17_K9K14_met1/ac,195284048,40.75
IM04r1,2-2_H3_9_17_K9K14_met1/ac,309836096,40.99
IM04r2,2-2_H3_9_17_K9K14_met1/ac,310875424,40.75
IM04r3,2-2_H3_9_17_K9K14_met1/ac,310534208,40.47
IM05r1,2-2_H3_9_17_K9K14_met1/ac,477755712,40.41
IM05r2,2-2_H3_9_17_K9K14_met1/ac,440090176,40.61
IM05r3,2-2_H3_9_17_K9K14_met1/ac,443887232,40.68
EJ06r1,2-2_H3_9_17_K9K14_met1/ac,305164256,40.65
EJ06r2,2-2_H3_9_17_K9K14_met1/ac,301516096,40.6
EJ06r3,2-2_H3_9_17_K9K14_met1/ac,292306816,40.42
EJ07r1,2-2_H3_9_17_K9K14_met1/ac,547521856,40.39
EJ07r2,2-2_H3_9_17_K9K14_met1/ac,489792608,40.48
EJ07r3,2-2_H3_9_17_K9K14_met1/ac,532729760,40.41
